"Platform","GameName","is100","Comm","Priority"
"PC","007 Legends","True","(that was a mistake)","0"
"PC","007 Quantum of Solace","True","None","0"
"PC","1...2...3 Kick It","False","None","0"
"PC","A.R.E.S Extinction Agenda","False","None","0"
"PC","Alien Breed 2: Assault","True","None","0"
"PC","Alien Breed 3: Descent","True","None","0"
"PC","Alien Breed: Impact","True","None","0"
"PC","All Zombies Must Die","False","None","0"
"PC","Alone In The Dark","True","None","1"
"PC","Alpha Prime","False","None","0"
"PC","And Yet It Moves","False","None","0"
"PC","Antenna","True","None","0"
"PC","Bastion","False","None","0"
"PC","Batman Arkham Asylum","True","None","0"
"PC","Battlefield 1942","False","None","0"
"PC","Battlefield Bad Company 2","False","None","0"
"PC","Betrayer","True","None","0"
"PC","Binary Domain","True","(except dead MP mode)","1"
"PC","BioShock","False","None","1"
"PC","BioShock 2","False","None","1"
"PC","BioShock Infinite","True","None","1"
"PC","Blur","False","None","1"
"PC","Borderlands","True","(coop with Azatoth, Popex and Mateos)","1"
"PC","Broken Sword 2: The Smoking Mirror","False","None","0"
"PC","Broken Sword: Shadow of the Templars","False","None","0"
"PC","Bully: Scholarship Edition","True","None","0"
"PC","CoD","False","None","1"
"PC","CoD 2","False","None","1"
"PC","CoD 4: Modern Warfare","False","None","1"
"PC","CoD: Black Ops","False","None","1"
"PC","CoD: Black Ops II","False","None","1"
"PC","CoD: Black Ops III","False","(campaign in coop with Azatoth)","1"
"PC","CoD: Modern Warfare 2","False","None","1"
"PC","CoD: Modern Warfare 3","False","None","1"
"PC","CoD: World at War","False","None","1"
"PC","Car Mechanic Simulator 2014","False","(main game)","0"
"PC","Chime","False","None","0"
"PC","Clandestine","True","(entirely in coop with Azatoth)","2"
"PC","Clive Barker's Jericho","False","None","0"
"PC","Colin McRae Rally","False","None","2"
"PC","CMR04","True","None","2"
"PC","CMR2","False","None","2"
"PC","CMR2005","True","None","2"
"PC","CMR3","True","None","2"
"PC","Condemned: Criminals Origins","False","None","1"
"PC","Counter-Strike Condition Zero Deleted Scenes","False","None","2"
"PC","Crash Time II","True","None","1"
"PC","Crash Time III","True","None","1"
"PC","Cryostasis","False","None","1"
"PC","Crysis","False","None","1"
"PC","Crysis 2","False","None","1"
"PC","Crysis 3","False","None","1"
"PC","Crysis Warhead","False","None","1"
"PC","Dead Island","True","None","0"
"PC","DeadCore","True","None","2"
"PC","Depth Hunter 2","True","None","0"
"PC","Derrick meurtre dans un parterre de fleurs","False","(shoutout to Azatoth)","0"
"PC","Deus Ex","False","None","0"
"PC","Dinner Date","False","(lel)","0"
"PC","DiRT","True","None","2"
"PC","DiRT 2","True","None","2"
"PC","DiRT 3","True","None","2"
"PC","DiRT Showdown","True","None","2"
"PC","DOOM","False","None","0"
"PC","DOOM 3","False","None","0"
"PC","DOOM II","False","None","0"
"PC","Driver Parallel Lines","True","None","2"
"PC","Driver San Francisco","True","None","2"
"PC","Duke Nukem 3D","False","None","1"
"PC","Duke Nukem Forever","False","None","1"
"PC","F.E.A.R","False","None","1"
"PC","F.E.A.R 2","False","None","1"
"PC","F.E.A.R Extraction Point","False","None","1"
"PC","F.E.A.R Perseus Mandate","False","None","1"
"PC","F1 2010","True","None","2"
"PC","Fallout 3","True","None","1"
"PC","Far Cry 2","True","None","1"
"PC","FarCry","False","None","1"
"PC","FBI Hostage Rescue","False","None","2"
"PC","Fireburst","True","None","1"
"PC","FlatOut","True","None","1"
"PC","FlatOut 2","True","None","1"
"PC","FlatOut: Ultimate Carnage","True","None","1"
"PC","Foreign Legion: Buckets of Blood","True","None","1"
"PC","Frontlines: Fuel of War","False","None","0"
"PC","FUEL","True","None","2"
"PC","GRID 2","True","None","2"
"PC","GTA III","True","None","2"
"PC","GTA IV","True","None","2"
"PC","GTA IV Episodes from Liberty City","False","None","2"
"PC","GTA San Andreas","True","None","2"
"PC","GTA V","True","(nearly 100% SC completion but random events are glitched)","2"
"PC","GTA Vice City","True","None","2"
"PC","Hack'n'Slash","False","None","0"
"PC","Half-Life","False","None","2"
"PC","Half-Life 2","False","None","2"
"PC","Half-Life 2: Episode One","False","None","2"
"PC","Half-Life 2: Episode Two","False","None","2"
"PC","Half-Life: Blue Shift","False","None","2"
"PC","Half-Life: Opposing Force","False","None","2"
"PC","Halo","False","None","2"
"PC","Halo 2","False","(H3 on PC when?)","2"
"PC","HOMEFRONT","False","None","0"
"PC","Hydrophobia: Prophecy :100percent:","False","None","0"
"PC","Ignite","True","None","0"
"PC","Insane 2","True","None","0"
"PC","James Bond 007 Nightfire","False","None","2"
"PC","Juiced","False","None","1"
"PC","Juiced 2","False","None","1"
"PC","Just Cause 2","True","(that was fucking long)","2"
"PC","Kane & Lynch","False","None","0"
"PC","Kane & Lynch 2: Dog Days","False","None","0"
"PC","Lara Croft and the Guardian of Light","True","(and I'm proud of that one - shoutout to Popex :B1:)","2"
"PC","Limbo","False","None","0"
"PC","Manhunt","False","None","1"
"PC","Manhunt 2","False","None","1"
"PC","Max Payne","False","None","2"
"PC","Max Payne 2","False","None","2"
"PC","Max Payne 3","False","None","2"
"PC","Medal of Honor: Airborne","True","None","1"
"PC","Medal of Honor: Pacific Assault","False","None","1"
"PC","Mercedes-Benz World Racing","True","None","2"
"PC","Metal Gear Solid","False","None","1"
"PC","Mining and Tunneling Simulator","False","None","2"
"PC","Mirror's Edge","True","None","2"
"PC","Nail'd","True","None","1"
"PC","NaissanceE","False","None","1"
"PC","NFS 4: High Stakes","False","None","2"
"PC","NFS II","False","None","2"
"PC","NFS III: Hot Pursuit","False","None","2"
"PC","NFS: Carbon","True","None","2"
"PC","NFS: Hot Pursuit 2010","True","None","2"
"PC","NFS: Hot Pursuit 2","True","None","2"
"PC","NFS: Most Wanted","True","None","2"
"PC","NFS: Most Wanted 2012","True","(except the grindy as all hell online mode)","2"
"PC","NFS: Porsche 2000","False","None","2"
"PC","NFS: ProStreet","True","None","2"
"PC","NFS: Shift","True","None","2"
"PC","NFS: Shift 2","True","None","2"
"PC","NFS: The Run","False","None","2"
"PC","NFS: Undercover","True","None","2"
"PC","NFS: Underground","True","None","2"
"PC","NFS: Underground 2","True","None","2"
"PC","OutRun 2006","False","(that game is so fun)","2"
"PC","Peggle","True","None","2"
"PC","Peggle Nights","True","None","2"
"PC","Portal","True","None","2"
"PC","Portal 2","True","(shoutout to Azatoth for the coop mode)","2"
"PC","Portal Stories: Mel","False","None","2"
"PC","PREY","False","None","0"
"PC","Prototype","False","(not 100% because the events are tedious beyond all reason)","0"
"PC","Psychonauts","False","None","0"
"PC","PURE","False","None","1"
"PC","Quake","False","None","1"
"PC","Quake 2","False","None","1"
"PC","Quake 4","False","None","1"
"PC","Quake III","False","None","1"
"PC","Quantum Conundrum","True","None","2"
"PC","Race Driver GRID","True","None","2"
"PC","Radiator 2","True","None","2"
"PC","Rallisport Challenge","False","None","1"
"PC","Red Faction","False","None","1"
"PC","Red Faction 2","False","None","1"
"PC","Red Faction Guerrilla","True","(except MP, finished both on GFWL and Steam)","1"
"PC","Red Faction: Armageddon","True","None","1"
"PC","Refunct","True","None","1"
"PC","Rexaura","False","(w/ all 3 cakes :B1:�)","2"
"PC","Ridge Racer Unbounded","True","None","0"
"PC","Scribblenauts Unlimited","True","None","0"
"PC","SEGA RALLY","False","None","1"
"PC","Serious Sam: The First Encounter Classic","False","None","1"
"PC","Serious Sam: The Second Encounter Classic","False","None","1"
"PC","Shadowgrounds","False","None","1"
"PC","Shadowgrounds Survivor","False","None","1"
"PC","Shatter","False","None","1"
"PC","Silent Hill 2","False","None","2"
"PC","SiN","False","None","1"
"PC","SiN Episodes : Emergence","False","(tfw no sequel)","1"
"PC","Singularity","False","None","2"
"PC","Sleeping Dogs","True","None","1"
"PC","Sniper Elite","False","None","1"
"PC","Sniper: Ghost Warrior","True","None","1"
